iter	Passed	Remaining
208	1123	4252
209	1133	4264
210	1138	4256
211	1144	4253
212	1149	4248
213	1155	4245
214	1170	4273
215	1187	4309
216	1194	4309
217	1202	4313
218	1217	4340
219	1227	4350
220	1231	4342
221	1236	4334
222	1243	4332
223	1248	4325
224	1253	4316
225	1259	4312
226	1261	4297
227	1268	4295
228	1273	4288
229	1278	4280
230	1283	4273
231	1288	4266
232	1294	4261
233	1299	4254
234	1303	4243
235	1311	4245
236	1316	4238
237	1322	4234
238	1327	4225
239	1331	4217
240	1336	4210
241	1343	4207
242	1348	4201
243	1353	4194
244	1357	4184
245	1362	4176
246	1367	4167
247	1374	4166
248	1380	4164
249	1386	4158
250	1390	4150
251	1395	4142
252	1399	4132
253	1407	4133
254	1411	4124
255	1416	4116
256	1423	4116
257	1431	4115
258	1439	4117
259	1445	4115
260	1453	4114
261	1457	4106
262	1463	4101
263	1470	4099
264	1475	4092
265	1479	4083
266	1485	4079
267	1491	4074
268	1496	4067
269	1501	4060
270	1506	4052
271	1511	4044
272	1517	4041
273	1523	4037
274	1528	4030
275	1535	4027
276	1541	4023
277	1546	4015
278	1550	4006
279	1555	3999
280	1559	3991
281	1565	3986
282	1570	3980
283	1575	3972
284	1580	3963
285	1583	3954
286	1588	3945
287	1592	3938
288	1600	3938
289	1607	3935
290	1612	3929
291	1617	3921
292	1622	3915
293	1627	3908
294	1633	3903
295	1638	3896
296	1642	3888
297	1646	3879
298	1650	3870
299	1655	3863
300	1661	3858
301	1667	3854
302	1673	3848
303	1678	3842
304	1682	3834
305	1687	3827
306	1690	3815
307	1696	3811
308	1708	3821
309	1712	3812
310	1716	3803
311	1722	3797
312	1729	3796
313	1735	3791
314	1740	3785
315	1747	3782
316	1754	3780
317	1759	3773
318	1764	3766
319	1769	3760
320	1775	3755
321	1781	3750
322	1785	3742
323	1790	3735
324	1794	3726
325	1798	3719
326	1803	3711
327	1809	3707
328	1815	3702
329	1820	3695
330	1826	3692
331	1833	3688
332	1837	3681
333	1842	3673
334	1846	3665
335	1850	3657
336	1856	3652
337	1862	3648
338	1868	3643
339	1873	3635
340	1877	3628
341	1882	3621
342	1889	3619
343	1894	3612
344	1899	3605
345	1903	3598
346	1907	3590
347	1913	3584
348	1918	3579
349	1925	3575
350	1930	3570
351	1936	3565
352	1942	3559
353	1947	3554
354	1953	3548
355	1957	3541
356	1962	3535
357	1970	3533
358	1975	3527
359	1980	3520
360	1985	3514
361	1990	3508
362	1997	3504
363	2002	3499
364	2008	3494
365	2013	3487
366	2020	3484
367	2026	3480
368	2031	3473
369	2035	3466
370	2040	3459
371	2044	3451
372	2051	3448
373	2056	3442
374	2060	3434
375	2065	3427
376	2070	3421
377	2075	3415
378	2080	3409
379	2087	3405
380	2093	3401
381	2100	3398
382	2106	3394
383	2111	3387
384	2117	3383
385	2123	3378
386	2128	3371
387	2132	3363
388	2136	3356
389	2141	3348
390	2146	3343
391	2153	3339
392	2157	3332
393	2164	3329
394	2171	3325
395	2176	3319
396	2185	3319
397	2190	3313
398	2195	3306
399	2199	3299
400	2204	3292
401	2208	3285
402	2214	3280
403	2219	3274
404	2224	3267
405	2228	3260
406	2233	3254
407	2238	3247
408	2246	3246
409	2251	3240
410	2255	3233
411	2261	3228
412	2267	3223
413	2272	3217
414	2280	3214
415	2286	3210
416	2291	3204
417	2296	3198
418	2301	3191
419	2307	3186
420	2312	3180
421	2317	3173
422	2321	3166
423	2327	3162
424	2332	3155
425	2337	3149
426	2345	3147
427	2351	3142
428	2357	3137
429	2362	3131
430	2366	3123
431	2370	3116
432	2377	3113
433	2383	3108
434	2388	3102
435	2393	3095
436	2397	3088
437	2401	3081
438	2408	3077
439	2413	3071
440	2418	3065
441	2423	3059
442	2429	3054
443	2435	3049
444	2442	3046
445	2447	3040
446	2452	3034
447	2457	3027
448	2462	3021
449	2468	3017
450	2475	3013
451	2479	3005
452	2484	2999
453	2487	2992
454	2492	2985
455	2496	2978
456	2503	2974
457	2508	2968
458	2513	2962
459	2525	2964
460	2530	2958
461	2537	2955
462	2543	2950
463	2548	2943
464	2553	2938
465	2558	2931
466	2563	2925
467	2567	2918
468	2571	2911
469	2576	2905
470	2583	2902
471	2590	2897
472	2595	2892
473	2600	2885
474	2605	2879
475	2609	2873
476	2616	2868
477	2621	2863
478	2626	2856
479	2631	2851
480	2636	2845
481	2641	2838
482	2645	2832
483	2652	2827
484	2657	2822
485	2662	2816
486	2669	2811
487	2673	2804
488	2678	2798
489	2683	2793
490	2688	2786
491	2692	2780
492	2699	2776
493	2705	2771
494	2710	2765
495	2714	2758
496	2719	2752
497	2723	2745
498	2729	2740
499	2735	2735
500	2740	2730
501	2745	2723
502	2749	2716
503	2754	2710
504	2760	2705
505	2767	2701
506	2771	2695
507	2779	2691
508	2790	2692
509	2795	2685
510	2799	2679
511	2803	2672
512	2811	2669
513	2819	2665
514	2827	2662
515	2833	2657
516	2837	2650
517	2843	2645
518	2848	2640
519	2853	2633
520	2860	2629
521	2867	2625
522	2873	2620
523	2899	2633
524	2905	2629
525	2924	2635
526	2928	2628
527	2933	2622
528	2938	2616
529	2944	2611
530	2949	2605
531	2954	2599
532	2959	2592
533	2964	2587
534	2970	2581
535	2976	2577
536	2982	2571
537	2987	2565
538	2991	2558
539	2996	2552
540	3001	2546
541	3007	2541
542	3013	2536
543	3019	2531
544	3026	2526
545	3031	2520
546	3036	2515
547	3042	2509
548	3047	2503
549	3056	2500
550	3063	2496
551	3067	2489
552	3072	2483
553	3077	2477
554	3081	2471
555	3087	2465
556	3093	2460
557	3097	2453
558	3102	2447
559	3107	2441
560	3111	2435
561	3118	2430
562	3125	2425
563	3130	2420
564	3137	2415
565	3143	2410
566	3149	2405
567	3154	2399
568	3159	2392
569	3163	2386
570	3170	2381
571	3174	2375
572	3179	2369
573	3183	2362
574	3189	2357
575	3194	2351
576	3201	2346
577	3206	2341
578	3211	2335
579	3217	2330
580	3222	2324
581	3227	2318
582	3235	2314
583	3241	2308
584	3246	2303
585	3252	2297
586	3257	2291
587	3264	2287
588	3270	2281
589	3274	2275
590	3282	2271
591	3287	2265
592	3292	2259
593	3298	2254
594	3303	2248
595	3308	2242
596	3312	2235
597	3318	2230
598	3322	2224
599	3329	2219
600	3335	2214
601	3341	2209
602	3348	2204
603	3353	2198
604	3359	2193
605	3363	2186
606	3368	2180
607	3373	2174
608	3379	2169
609	3383	2163
610	3388	2157
611	3392	2150
612	3396	2144
613	3401	2138
614	3407	2133
615	3414	2128
616	3420	2123
617	3425	2117
618	3431	2111
619	3435	2105
620	3442	2100
621	3448	2095
622	3453	2090
623	3459	2084
624	3465	2079
625	3469	2072
626	3475	2067
627	3481	2062
628	3486	2056
629	3492	2051
630	3497	2045
631	3502	2039
632	3507	2033
633	3511	2027
634	3515	2020
635	3520	2014
636	3525	2009
637	3530	2002
638	3534	1996
639	3540	1991
640	3546	1986
641	3551	1980
642	3556	1974
643	3562	1969
644	3566	1962
645	3572	1957
646	3578	1952
647	3583	1946
648	3588	1940
649	3594	1935
650	3599	1929
651	3605	1924
652	3611	1918
653	3615	1912
654	3621	1907
655	3627	1902
656	3631	1896
657	3639	1891
658	3644	1885
659	3650	1880
660	3656	1875
661	3661	1869
662	3668	1864
663	3675	1859
664	3680	1854
665	3685	1848
666	3691	1842
667	3695	1836
668	3701	1831
669	3706	1825
670	3711	1819
671	3716	1813
672	3722	1808
673	3726	1802
674	3732	1797
675	3737	1791
676	3742	1785
677	3748	1780
678	3754	1774
679	3758	1768
680	3763	1762
681	3768	1757
682	3774	1751
683	3780	1746
684	3787	1741
685	3792	1735
686	3801	1731
687	3805	1725
688	3810	1720
689	3815	1714
690	3819	1707
691	3824	1702
692	3830	1696
693	3835	1691
694	3839	1685
695	3844	1679
696	3848	1673
697	3853	1667
698	3859	1661
699	3866	1657
700	3871	1651
701	3877	1645
702	3882	1640
703	3887	1634
704	3894	1629
705	3900	1624
706	3905	1618
707	3911	1613
708	3917	1607
709	3922	1601
710	3928	1596
711	3933	1591
712	3939	1585
713	3946	1580
714	3951	1575
715	3956	1569
716	3961	1563
717	3966	1557
718	3971	1552
719	3977	1546
720	3982	1541
721	3987	1535
722	3994	1530
723	4000	1525
724	4005	1519
725	4010	1513
726	4015	1507
727	4020	1502
728	4029	1498
729	4033	1491
730	4038	1486
731	4042	1480
732	4048	1474
733	4055	1469
734	4062	1464
735	4067	1458
736	4073	1453
737	4080	1448
738	4085	1442
739	4090	1437
740	4096	1431
741	4101	1425
742	4107	1420
743	4113	1415
744	4118	1409
745	4123	1404
746	4128	1398
747	4134	1392
748	4140	1387
749	4145	1381
750	4149	1375
751	4153	1369
752	4158	1363
753	4163	1358
754	4170	1353
755	4176	1348
756	4181	1342
757	4187	1336
758	4192	1331
759	4197	1325
760	4201	1319
761	4206	1313
762	4210	1307
763	4216	1302
764	4222	1296
765	4227	1291
766	4234	1286
767	4240	1281
768	4245	1275
769	4249	1269
770	4254	1263
771	4259	1257
772	4265	1252
773	4271	1247
774	4276	1241
775	4281	1235
776	4285	1229
777	4290	1224
778	4297	1219
779	4302	1213
780	4307	1207
781	4312	1202
782	4316	1196
783	4321	1190
784	4326	1185
785	4333	1179
786	4338	1174
787	4343	1168
788	4348	1162
789	4353	1157
790	4358	1151
791	4365	1146
792	4370	1140
793	4374	1135
794	4380	1129
795	4386	1124
796	4390	1118
797	4394	1112
798	4399	1106
799	4403	1100
800	4408	1095
801	4415	1090
802	4419	1084
803	4424	1078
804	4428	1072
805	4433	1067
806	4438	1061
807	4444	1056
808	4449	1050
809	4453	1044
810	4461	1039
811	4469	1034
812	4474	1029
813	4479	1023
814	4484	1017
815	4491	1012
816	4497	1007
817	4502	1001
818	4509	996
819	4515	991
820	4519	985
821	4526	980
822	4532	974
823	4537	969
824	4542	963
825	4547	957
826	4551	952
827	4558	946
828	4564	941
829	4569	935
830	4573	930
831	4579	924
832	4584	919
833	4594	914
834	4600	909
835	4608	904
836	4614	898
837	4620	893
838	4626	887
839	4631	882
840	4636	876
841	4641	870
842	4646	865
843	4653	860
844	4658	854
845	4663	848
846	4670	843
847	4675	838
848	4680	832
849	4688	827
850	4693	821
851	4698	816
852	4702	810
853	4707	804
854	4711	799
855	4718	793
856	4724	788
857	4729	782
858	4735	777
859	4741	771
860	4745	766
861	4751	760
862	4758	755
863	4772	751
864	4776	745
865	4786	740
866	4790	734
867	4795	729
868	4799	723
869	4803	717
870	4808	712
871	4815	706
872	4820	701
873	4825	695
874	4831	690
875	4838	684
876	4843	679
877	4848	673
878	4853	668
879	4857	662
880	4864	657
881	4871	651
882	4875	646
883	4879	640
884	4883	634
885	4888	628
886	4894	623
887	4899	617
888	4903	612
889	4908	606
890	4914	601
891	4920	595
892	4925	590
893	4929	584
894	4933	578
895	4938	573
896	4943	567
897	4949	562
898	4953	556
899	4958	550
900	4962	545
901	4967	539
902	4972	534
903	4978	528
904	4984	523
905	4989	517
906	5001	512
907	5007	507
908	5013	501
909	5018	496
910	5022	490
911	5026	485
912	5031	479
913	5036	473
914	5042	468
915	5048	463
916	5054	457
917	5060	452
918	5066	446
919	5072	441
920	5079	435
921	5084	430
922	5088	424
923	5092	418
924	5097	413
925	5102	407
926	5108	402
927	5113	396
928	5117	391
929	5121	385
930	5125	379
931	5130	374
932	5137	368
933	5144	363
934	5149	357
935	5154	352
936	5159	346
937	5164	341
938	5170	335
939	5176	330
940	5182	324
941	5187	319
942	5192	313
943	5199	308
944	5204	302
945	5209	297
946	5213	291
947	5218	286
948	5223	280
949	5230	275
950	5236	269
951	5241	264
952	5247	258
953	5252	253
954	5257	247
955	5261	242
956	5266	236
957	5272	231
958	5278	225
959	5284	220
960	5289	214
961	5295	209
962	5300	203
963	5305	198
964	5309	192
965	5314	187
966	5318	181
967	5324	176
968	5330	170
969	5336	165
970	5344	159
971	5350	154
972	5357	148
973	5363	143
974	5367	137
975	5374	132
976	5380	126
977	5384	121
978	5391	115
979	5398	110
980	5402	104
981	5408	99
982	5413	93
983	5419	88
984	5426	82
985	5430	77
986	5434	71
987	5440	66
988	5445	60
989	5450	55
990	5456	49
991	5462	44
992	5467	38
993	5473	33
994	5478	27
995	5483	22
996	5489	16
997	5494	11
998	5500	5
999	5509	0
