iter	Logloss
0	0.680184567
1	0.6673032468
2	0.6563999844
3	0.6457276839
4	0.6344488092
5	0.6245333034
6	0.61512312
7	0.6075792525
8	0.5990149308
9	0.5921261256
10	0.584634828
11	0.5772240244
12	0.5704845005
13	0.5639905139
14	0.557690735
15	0.5503169684
16	0.5447483315
17	0.5397134607
18	0.5347372334
19	0.5295130102
20	0.5248736857
21	0.5206029089
22	0.5151481788
23	0.5115068773
24	0.5076634237
25	0.5040334311
26	0.5009604776
27	0.4976825232
28	0.4944885969
29	0.4908382985
30	0.4875770725
31	0.4836602056
32	0.4800711858
33	0.4775762558
34	0.4748468464
35	0.471811681
36	0.4693381758
37	0.4673686906
38	0.4651863815
39	0.4629292533
40	0.460817786
41	0.4584820152
42	0.4561438605
43	0.4542892556
44	0.4528381201
45	0.4515084848
46	0.4499872974
47	0.4483835803
48	0.4468814902
49	0.4455258966
50	0.4440105955
51	0.442608141
52	0.441440847
53	0.440202196
54	0.4386013773
55	0.436672048
56	0.4352240314
57	0.4339752654
58	0.4328250752
59	0.4310705997
60	0.4301235
61	0.4289883396
62	0.428113636
63	0.4271722448
64	0.4263353
65	0.4255127915
66	0.4243280089
67	0.4234665134
68	0.4225263304
69	0.4217408417
70	0.420827701
71	0.4200812338
72	0.4188980044
73	0.4180107545
74	0.4173111861
75	0.4166601745
76	0.4158690062
77	0.4151449339
78	0.4145118381
79	0.4138705629
80	0.4132746766
81	0.4122740772
82	0.4117482458
83	0.4110661159
84	0.4103537039
85	0.4096013952
86	0.4090372454
87	0.4085892827
88	0.4081053587
89	0.4076308676
90	0.4071281598
91	0.4065937638
92	0.4060064685
93	0.4053220278
94	0.4045503088
95	0.4039102964
96	0.4033329822
97	0.4028321776
98	0.4024407533
99	0.4019992662
100	0.4010311771
101	0.4005511251
102	0.4001189605
103	0.3996942724
104	0.399307912
105	0.3988331937
106	0.3984283756
107	0.3981122017
108	0.3976827403
109	0.397139847
110	0.3966838573
111	0.3961017479
112	0.3957015568
113	0.3951779901
114	0.394682479
115	0.3944548323
116	0.393834957
117	0.3933645417
118	0.3928000404
119	0.3923582941
120	0.3920363789
121	0.3917315399
122	0.3913814171
123	0.3911163818
124	0.3908447106
125	0.3900015511
126	0.3894477728
127	0.3890599054
128	0.3888175136
129	0.3885133226
130	0.3879664013
131	0.3876404636
132	0.3872901533
133	0.3865212073
134	0.3860536465
135	0.3856119045
136	0.3849612434
137	0.3845458183
138	0.384289093
139	0.3839206776
140	0.3835749907
141	0.3832800622
142	0.3829471147
143	0.3821531807
144	0.3818429448
145	0.3814845334
146	0.3807228631
147	0.3804145528
148	0.3800563697
149	0.3797697928
150	0.379570582
151	0.3792948419
152	0.3790089187
153	0.3788381461
154	0.3785542577
155	0.3783613713
156	0.3781300733
157	0.3778354123
158	0.3775208698
159	0.3772440026
160	0.3768747351
161	0.3766648785
162	0.3764057304
163	0.376061539
164	0.3757501879
165	0.37534466
166	0.3750016907
167	0.3747218693
168	0.3744595654
169	0.3742141395
170	0.3741126374
171	0.3739407186
172	0.3736872845
173	0.3733548112
174	0.3728378046
175	0.3726543771
176	0.3723108941
177	0.3720829235
178	0.3715958294
179	0.3712704025
180	0.3708685627
181	0.3704787782
182	0.3702762134
183	0.3700358718
184	0.3698496732
185	0.3693929717
186	0.3690429727
187	0.3686549245
188	0.368372838
189	0.3681397997
190	0.3678070527
191	0.3674873748
192	0.3673148046
193	0.3670946863
194	0.3669187017
195	0.3666858681
196	0.3664331488
197	0.3661388356
198	0.3658670863
199	0.3656372391
200	0.3653951891
201	0.3651043067
202	0.3648076796
203	0.3645894855
204	0.3644211991
205	0.3642622326
206	0.3639827603
207	0.3636968722
208	0.3635271563
209	0.3632934796
210	0.3630220481
211	0.3627747258
212	0.3625452875
213	0.3622544401
214	0.3621241576
215	0.3619130093
216	0.3616293169
217	0.3614469394
218	0.3612777986
219	0.3611084022
220	0.3608798208
221	0.3607182137
222	0.3605538868
223	0.3604245805
224	0.3602771215
225	0.3599738405
226	0.3599717819
227	0.359808764
228	0.3596541466
229	0.3594496141
230	0.3592595594
231	0.3589745672
232	0.3588284813
233	0.3585888687
234	0.3583855907
235	0.3582407981
236	0.3579641793
237	0.3578629786
238	0.3577082213
239	0.3576169805
240	0.3573019252
241	0.3571915467
242	0.3568959846
243	0.3566512929
244	0.3563331359
245	0.3562059212
